Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,B0,E
G_sp_IC158,meta,,-0.4410708773209201,-10.260611101747678,0.8886593808680062,4.039769697864291e-5,0.5969809375331445,0.8886593808680062
S_gled_1percentSalt,meta,,-0.7271041729337361,-9.344038198357483,0.4282392741732895,6.41e-5,0.9343819130503992,0.4282392741732895
S_gled_2.5percentSalt,meta,,-0.6535816090569357,-9.162089829595116,0.6606532036363811,1.1000404725664112e-4,1.3290804242694063,0.6606532036363811
S_gled_5percentSalt,meta,,-0.4863360002762139,-9.595913657298455,0.48261691638807375,6.927792451297835e-5,0.9911537911058342,0.48261691638807375
A_hydrophila_3459,meta,,-0.7932371984068676,-9.264225714760949,0.6495774496582783,1.1341203138119025e-4,1.3513781212476428,0.6495774496582783
L_m_ScottA,meta,,-0.8873145231460738,-9.880474265931886,0.9867076185794988,5.871053570994812e-5,0.8701971144581864,0.9867076185794988
E_coli_M23,meta,,-0.9630606197866585,-9.79949703344725,0.7025231453396988,9.695437623625976e-5,1.236794344014686,0.7025231453396988
P_fluorescens_1412,meta,,-0.6530060645163371,-9.095491766918443,0.5559612194997373,1.2940896305899498e-4,1.4478105533412364,0.5559612194997373
K_oxytoca_NRRL_B-199,meta,,-0.9155705808239405,-9.406915705788416,0.6526576863661421,1.3192804911241285e-4,1.461900155049867,0.6526576863661421
P_putidia_1442,meta,,-0.6783497431068536,-8.948177043042428,0.6440733561431725,1.463051466729771e-4,1.5374950452899252,0.6440733561431725
S_thermophilus_K118-4,meta,,-0.9276967098471345,-10.551817395958324,1.0078819891610316,2.2480537980648214e-5,0.1686279313039313,1.0078819891610316
S_thermophilus_BC-29_run3,meta,,-0.8655165173313774,-10.566018414475607,0.92472943950176,2.3698439088298343e-5,0.2071856759996032,0.92472943950176
S_thermophilus_BC-29_run2,meta,,-0.8968139701836467,-10.319776036830923,0.8289316374446425,4.146165836628031e-5,0.6159796945147246,0.8289316374446425
S_thermophilus_BC-29_run1,meta,,-1.0031128223633654,-10.858414720047287,0.9463476650921765,2.43706736324844e-5,0.22762780938533442,0.9463476650921765
S_thermophilus_BC-14_run5,meta,,-1.1463871289071743,-11.357670245974363,1.0412673646557684,1.9157993806304706e-5,0.051747220523212165,1.0412673646557684
S_thermophilus_BC-14_run4,meta,,-0.8269331863678281,-10.485958600230079,0.8373880707002486,2.8151102449838383e-5,0.33301711484621965,0.8373880707002486
S_thermophilus_BC-14_run3,meta,,-0.7168484769548105,-9.734859853274328,0.6994897838378957,6.37909222927177e-5,0.9308494958450984,0.6994897838378957
S_thermophilus_BC-14_run2,meta,,-1.0086359578459825,-10.810291126214308,0.918362338494247,2.7354464137567893e-5,0.31203749304827566,0.918362338494247
S_thermophilus_BC-14_run1,meta,,-1.2093337899417265,-11.726366853586693,1.1182979210084767,1.3355479209292994e-5,-0.21192943975939696,1.1182979210084767
E_coli_ONT H8_R91,meta,,-0.9234779038465841,-9.984746248080722,0.650181760588142,8.786679720387868e-5,1.1648676633986186,0.650181760588142
E_coli_O126_H21,meta,,-0.9187166562196672,-9.888761785859735,0.6543320943662199,9.210424554874706e-5,1.1992888026794795,0.6543320943662199
E_coli_NT_R31,meta,,-0.9732406250939881,-10.104375796463598,0.6324877373779221,9.65049970094347e-5,1.2333991297994837,0.6324877373779221
E_coli_O81_H-_R106,meta,,-0.883133517609926,-9.911026705382323,0.6425138538389167,8.915070774563707e-5,1.1754692129731867,0.6425138538389167
E_coli_O88_H-_R171,meta,,-1.0029578422141499,-10.366431353817875,0.7927945250480541,5.8298256181782734e-5,0.8650469837013126,0.7927945250480541
E_coli_O88_H-_R172,meta,,-1.010475322355074,-10.392452957245567,0.9431287487662586,4.8211616566581804e-5,0.7262106300705428,0.9431287487662586
E_coli_O157_H-,meta,,-1.0310313459514964,-9.814402447848602,0.7561082678783672,1.1184896500177596e-4,1.3412357016272156,0.7561082678783672
E_coli_O157_H7,meta,,-1.055906211253827,-10.218628596573211,0.8967713436717714,5.935781695832222e-5,0.8782103342699793,0.8967713436717714
E_coli_O111_H-,meta,,-1.1226340751136563,-10.41368710366132,0.73464789007544,7.063599530585147e-5,1.0053416972927283,0.73464789007544
Y_enteroclitica_pH5.5,meta,,-0.9860070679045051,-12.834876647266798,1.1099712704023257,2.7369933665088043e-6,-1.3703352727552265,1.1099712704023257
Y_enteroclitica_pH6,meta,,-0.9730579029922244,-12.207564833786119,1.18764097108922,6.0867361573178545e-6,-0.7862222114981543,1.18764097108922
Krist1997_Ecoli_0.998_2mM_betaine,meta,,-0.814733185029379,-10.3748897873328,0.7363034231768512,3.7589138311654083e-5,0.5443194351237467,0.7363034231768512
Krist1997_Ecoli_0.998,meta,,-0.8776276809265245,-10.53481485965113,1.0242210367708091,2.7463130013423968e-5,0.3149349498226706,1.0242210367708091
Krist1997_Ecoli_0.977_2mM_betaine,meta,,-0.7143641077657091,-11.025616392377446,0.6340402707623979,1.9652481322807004e-5,0.07037122459485912,0.6340402707623979
Krist1997_Phalo_0.964_2mM_betaine,meta,,-1.0174184187994353,-11.193964183708465,0.6787317815330224,2.2647259946428923e-5,0.17402793229296543,0.6787317815330224
Krist1997_Phalo_0.892,meta,,-0.9073246584396238,-12.48867906965699,0.7868032975528916,4.694662187633509e-6,-0.9760070282144485,0.7868032975528916
Krist1997_Phalo_0.964,meta,,-1.0528479601464806,-11.247420816833413,0.9612534379556886,1.7664964842862614e-5,-0.007549530373017428,0.9612534379556886
Krist1997_Phalo_0.892_2mM_betaine,meta,,-0.9648623645052085,-11.917491731110768,0.7778565952239258,9.489427262815096e-6,-0.46168764528110184,0.7778565952239258
Krist1997_Helongata_0.950_2mM_betaine,meta,,-0.9554048940738322,-10.719643971598112,0.8933763434734773,2.6066467209092748e-5,0.2767897974274007,0.8933763434734773
Krist1997_Helongata_0.752,meta,,-0.8490357598961,-12.602625545048596,1.1511420985708678,2.5389723185211988e-6,-1.4252206470819417,1.1511420985708678
Krist1997_Helongata_0.950,meta,,-0.8750297365927716,-10.855788118778952,0.7766742933887353,2.3536704498662952e-5,0.20218092411825767,0.7766742933887353
Krist1997_Helongata_0.752_2mM_betaine,meta,,-0.8195059073787635,-11.469283878549218,1.452342442762219,1.0842571803927216e-5,-0.36426728695054433,1.452342442762219
Krist1997_Saureus_0.963,meta,,-1.5135914872731986,-11.103616146843535,1.9598278417561208,2.1189184051702237e-5,0.1253930092911455,1.9598278417561208
